WKT,uniqueid,start_nid,end_nid,oneway,osmid,length,type,lanes,maxspeed,capacity,fft
"LINESTRING (-122.2316925 37.8502833,-122.2317413 37.8503046,-122.2317857 37.8503239,-122.2318314 37.8503457,-122.2318682 37.8503633,-122.2319097 37.8503856,-122.2319577 37.8504139,-122.2320085 37.8504427,-122.2320456 37.8504666,-122.2320899 37.8504946,-122.2321503 37.8505346,-122.2322162 37.85058,-122.2322791 37.8506319,-122.2323576 37.8506981,-122.2323968 37.8507355,-122.2325416 37.8508871)","161","59","936","1","23875259",101.34,motorway,"3","45","5400",5.03758888
"LINESTRING (-122.2381021 37.8499942,-122.2384579 37.8500793,-122.2387938 37.8501506,-122.2390666 37.8501855,-122.2393421 37.8502035,-122.2395783 37.8502025,-122.2398416 37.8501925,-122.2399388 37.8501878,-122.2400208 37.850183,-122.2400868 37.8501781,-122.2403287 37.8501547,-122.2405374 37.8501228,-122.24077 37.8500747,-122.2410168 37.8500072,-122.241308 37.8499118,-122.2416056 37.8497946,-122.2419084 37.8496545,-122.2425512 37.8493413,-122.2430546 37.8491307,-122.2432766 37.8490158,-122.243436 37.8489108,-122.2435585 37.8487997,-122.2436803 37.848652,-122.243792 37.8485136,-122.2440788 37.8480674,-122.2443335 37.8476709,-122.2444354 37.847475,-122.244503 37.8473451)","1342","475","1138","1","10626952",705.333,motorway_link,"1","30","900",52.592920034
"LINESTRING (-122.2381021 37.8499942,-122.2382642 37.8500288,-122.2384265 37.8500587,-122.238594 37.8500838,-122.2387572 37.8501032,-122.2389237 37.850118,-122.2390983 37.8501264,-122.2392562 37.8501302,-122.2394319 37.8501288,-122.2396105 37.8501208,-122.2397364 37.8501115,-122.239854 37.8500993,-122.2399719 37.8500847,-122.2400987 37.8500651,-122.2402461 37.8500367,-122.2404059 37.850002,-122.2405655 37.8499619,-122.2407227 37.8499177,-122.240877 37.8498704,-122.2410307 37.8498189,-122.2411824 37.8497642,-122.2413328 37.8497072,-122.2414813 37.849649,-122.2416284 37.8495874,-122.2417747 37.8495247,-122.2419207 37.8494604,-122.2420641 37.8493944)","1343","475","842","1","259087808",366.009,motorway,"4","65","7200",12.5960026532308
"LINESTRING (-122.2358921 37.8490923,-122.2360436 37.849149,-122.2361834 37.849206,-122.2363324 37.8492744,-122.2364766 37.8493426,-122.2370448 37.8496134,-122.2371945 37.8496837,-122.2373311 37.849744,-122.2374764 37.8498028,-122.237628 37.8498576,-122.23779 37.8499098,-122.2379462 37.8499545,-122.2381021 37.8499942)","1344","476","475","1","929555267",219.042,motorway,"5","55","9000",8.90879657236364
"LINESTRING (-122.2243961 37.8493789,-122.2250988 37.8491063,-122.2251584 37.849085,-122.2252191 37.8490649,-122.2252791 37.8490461,-122.2253338 37.849032,-122.2253899 37.8490179,-122.22546 37.8490016,-122.2255245 37.8489872,-122.2255856 37.8489744,-122.2256502 37.8489621,-122.2257425 37.8489471,-122.2258269 37.8489348,-122.2259089 37.8489251,-122.2259898 37.8489163,-122.2260715 37.8489085,-122.2261471 37.8489025,-122.2262361 37.848897,-122.2263172 37.8488938,-122.2264031 37.8488923,-122.226484 37.8488926,-122.2265709 37.8488937,-122.2266516 37.8488956,-122.2267372 37.8489004,-122.2268169 37.8489064,-122.2268984 37.8489141,-122.2269769 37.8489232,-122.2270656 37.8489358,-122.2271444 37.8489483,-122.2272311 37.8489647,-122.2273071 37.8489806,-122.2273895 37.849001,-122.2274635 37.8490206,-122.2275436 37.8490428,-122.2276175 37.8490659,-122.2276996 37.8490939,-122.2277727 37.8491212,-122.2278491 37.8491518,-122.2279179 37.8491803,-122.2280655 37.8492413,-122.2287833 37.8495405,-122.2288962 37.8495867,-122.2289956 37.8496265,-122.2290802 37.849658,-122.229159 37.8496862,-122.2292406 37.8497144,-122.2293227 37.8497418,-122.2294007 37.8497664,-122.2294726 37.8497886,-122.2295437 37.8498089,-122.2296113 37.8498269,-122.2296845 37.8498456,-122.2297581 37.8498638,-122.2298399 37.8498834,-122.2299444 37.8499058,-122.2300853 37.8499332,-122.2307603 37.8500615,-122.2309437 37.8500964,-122.2310491 37.8501172,-122.2311482 37.8501382,-122.2312471 37.8501609,-122.2316925 37.8502833)","1345","477","59","1","1254523960",680.093,motorway_link,"1","65","900",23.4050343910769
"LINESTRING (-122.2243961 37.8493789,-122.2245287 37.8493004,-122.2246658 37.8492246,-122.2248105 37.8491546,-122.2249522 37.849091,-122.2251012 37.8490316,-122.2252526 37.8489759,-122.2254019 37.8489282,-122.2255647 37.8488823,-122.2257273 37.8488435,-122.225882 37.8488122,-122.2260451 37.8487833,-122.2262029 37.8487625,-122.2263736 37.8487448,-122.2265396 37.8487345,-122.226705 37.8487285,-122.226869 37.8487292,-122.2270389 37.8487355,-122.2272035 37.8487473,-122.2273606 37.8487628,-122.2280712 37.848846,-122.2291147 37.8489686,-122.2296417 37.8490297)","1346","477","982","1","928170261",479.252,motorway,"4","55","7200",19.4919630705455
"LINESTRING (-122.2563806 37.842752,-122.2556557 37.8429791,-122.2553486 37.8430756,-122.2550416 37.8431725,-122.2547321 37.8432694,-122.2543205 37.8434008,-122.2541231 37.8434664,-122.2539705 37.8435179,-122.2538187 37.8435707,-122.2536647 37.843625,-122.2535101 37.8436794,-122.253359 37.8437332,-122.2532086 37.8437891,-122.2530572 37.8438451,-122.2529099 37.8439011,-122.2523128 37.844132,-122.2500475 37.8450141,-122.2490476 37.8454053,-122.2489014 37.8454631,-122.2487549 37.8455225,-122.2486059 37.8455841,-122.2484615 37.8456449,-122.2483146 37.8457071,-122.2481694 37.8457703)","1347","478","835","1","25007010",795.844,motorway,"4","65","7200",27.3885427286154
"LINESTRING (-122.2042557 37.8669247,-122.2044124 37.8668779,-122.2045697 37.8668307,-122.2065806 37.8662235,-122.2067347 37.8661762,-122.2068927 37.8661234)","2141","765","775","1","737154872",248.047,motorway,"5","65","9000",8.53640394123077
"LINESTRING (-122.2005372 37.8680022,-122.2007599 37.8679142)","2142","766","1451","1","47067711",21.861,motorway_link,"1","65","900",0.752334543692308
"LINESTRING (-122.1867452 37.8747137,-122.1864537 37.8749011,-122.1863259 37.8749864,-122.1862539 37.8750349,-122.1861802 37.8750885,-122.1859381 37.8752749,-122.1855812 37.8755462,-122.1854821 37.8756194,-122.1854296 37.8756576,-122.1853753 37.8756959,-122.1853283 37.8757285,-122.1852786 37.8757612,-122.1852258 37.8757938,-122.1851693 37.8758262,-122.1851119 37.8758563,-122.1850458 37.8758888,-122.1849729 37.8759177,-122.1848982 37.875944,-122.1848215 37.875967,-122.1847425 37.8759866,-122.1846621 37.8760018,-122.1845812 37.8760152,-122.1844999 37.8760255,-122.1841705 37.8760615,-122.1840916 37.8760718,-122.1840081 37.8760837,-122.1839301 37.8760958,-122.1838509 37.8761091,-122.1837746 37.876123,-122.1836746 37.8761437,-122.1835972 37.8761635,-122.1835235 37.876184,-122.1834446 37.8762087,-122.1833684 37.8762369,-122.1832937 37.87627,-122.1832229 37.8763057,-122.1831559 37.8763442,-122.1830908 37.8763876,-122.1830303 37.8764332,-122.1829723 37.8764832,-122.1829193 37.876533,-122.1828661 37.8765849,-122.1828146 37.8766376,-122.1827655 37.876691,-122.1827175 37.8767452,-122.1826735 37.8767987,-122.1823429 37.8772149)","2145","767","1097","1","393457779",494.663,motorway_link,"1","65","900",17.023560788
