WKT,uniqueid,start_nid,end_nid,oneway,osmid,length,type,lanes,maxspeed,capacity,fft
"LINESTRING (-122.2381021 37.8499942,-122.2382642 37.8500288,-122.2384265 37.8500587,-122.238594 37.8500838,-122.2387572 37.8501032,-122.2389237 37.850118,-122.2390983 37.8501264,-122.2392562 37.8501302,-122.2394319 37.8501288,-122.2396105 37.8501208,-122.2397364 37.8501115,-122.239854 37.8500993,-122.2399719 37.8500847,-122.2400987 37.8500651,-122.2402461 37.8500367,-122.2404059 37.850002,-122.2405655 37.8499619,-122.2407227 37.8499177,-122.240877 37.8498704,-122.2410307 37.8498189,-122.2411824 37.8497642,-122.2413328 37.8497072,-122.2414813 37.849649,-122.2416284 37.8495874,-122.2417747 37.8495247,-122.2419207 37.8494604,-122.2420641 37.8493944)","1343","475","842",TRUE,"259087808",366.009,motorway,"4","65","7200",12.59600265
"LINESTRING (-122.2358921 37.8490923,-122.2360436 37.849149,-122.2361834 37.849206,-122.2363324 37.8492744,-122.2364766 37.8493426,-122.2370448 37.8496134,-122.2371945 37.8496837,-122.2373311 37.849744,-122.2374764 37.8498028,-122.237628 37.8498576,-122.23779 37.8499098,-122.2379462 37.8499545,-122.2381021 37.8499942)","1344","476","475",TRUE,"929555267",219.042,motorway,"5","55","9000",8.908796572
"LINESTRING (-122.2243961 37.8493789,-122.2245287 37.8493004,-122.2246658 37.8492246,-122.2248105 37.8491546,-122.2249522 37.849091,-122.2251012 37.8490316,-122.2252526 37.8489759,-122.2254019 37.8489282,-122.2255647 37.8488823,-122.2257273 37.8488435,-122.225882 37.8488122,-122.2260451 37.8487833,-122.2262029 37.8487625,-122.2263736 37.8487448,-122.2265396 37.8487345,-122.226705 37.8487285,-122.226869 37.8487292,-122.2270389 37.8487355,-122.2272035 37.8487473,-122.2273606 37.8487628,-122.2280712 37.848846,-122.2291147 37.8489686,-122.2296417 37.8490297)","1346","477","982",TRUE,"928170261",479.252,motorway,"4","55","7200",19.49196307
"LINESTRING (-122.2068927 37.8661234,-122.2070377 37.8660689,-122.2071922 37.8660059,-122.2073322 37.8659424,-122.207485 37.865866,-122.2076055 37.8658014,-122.2077426 37.8657201,-122.2078708 37.8656375,-122.2079931 37.8655511,-122.2081105 37.8654621,-122.2082237 37.8653688,-122.2083365 37.8652688,-122.2084417 37.8651685,-122.2085394 37.865066,-122.2086351 37.8649571,-122.2087235 37.8648472,-122.2088073 37.864734,-122.2088821 37.8646194,-122.208955 37.8644983)","2162","775","935",TRUE,"23717707",261.509,motorway,"4","65","7200",8.999691422
"LINESTRING (-122.2420641 37.8493944,-122.2422066 37.8493272,-122.2423485 37.8492575,-122.2424878 37.8491866,-122.2426264 37.8491128,-122.2427632 37.8490374,-122.2429561 37.84893,-122.2445741 37.8480231,-122.245744 37.8473649,-122.2458816 37.8472883,-122.2460175 37.8472126,-122.2461528 37.8471384,-122.2462905 37.8470645,-122.2464287 37.8469909,-122.2465662 37.8469186,-122.2467058 37.8468478,-122.2468457 37.8467776,-122.2469866 37.8467085,-122.2470927 37.8466583,-122.247228 37.8465955,-122.2473655 37.8465308,-122.2474769 37.8464789,-122.2475603 37.8464409,-122.2477033 37.8463769,-122.2478478 37.8463138,-122.2479943 37.8462514,-122.2481419 37.8461897,-122.2482892 37.8461299,-122.248437 37.84607,-122.2485851 37.8460112,-122.248734 37.8459537)","2299","842","847",TRUE,"25006994",700.45,motorway,"4","65","7200",24.10560958
"LINESTRING (-122.208955 37.8644983,-122.2090214 37.864395,-122.2090915 37.8642787,-122.2091603 37.8641505,-122.2092188 37.8640235,-122.2094663 37.8633912,-122.2095164 37.863262,-122.2095681 37.8631361,-122.2096269 37.8629997,-122.209679 37.8628886,-122.2097397 37.8627647)","2491","935","1635",TRUE,"83149248",205.008,motorway,"2","65","3600",7.055239931
"LINESTRING (-122.208955 37.8644983,-122.2090064 37.8643874,-122.2090517 37.8642744,-122.2090996 37.8641306,-122.2091401 37.8639999,-122.2091828 37.8638583,-122.2092183 37.8637262,-122.209323 37.8633493,-122.2093936 37.8630951,-122.2094307 37.862965,-122.2094714 37.8628384,-122.2095163 37.8627134,-122.2095625 37.8625896,-122.2096125 37.8624661,-122.209668 37.8623412,-122.2097235 37.8622188,-122.2097865 37.8620925,-122.2098505 37.8619703,-122.2098838 37.8619075,-122.2099159 37.8618497,-122.2099893 37.8617233,-122.2100552 37.8616168,-122.2101012 37.8615433,-122.210315 37.8612047,-122.210558 37.8608538,-122.2108305 37.8604927,-122.2111419 37.8601228,-122.2114842 37.8597746,-122.2148909 37.8566082,-122.2152801 37.8562798,-122.2157468 37.855953,-122.2161821 37.8556959,-122.2166847 37.8554573,-122.217185 37.855266,-122.2176796 37.855103,-122.2182898 37.854916,-122.2190348 37.8546774,-122.2199628 37.854384,-122.2201148 37.8543362,-122.2207243 37.8541345)","2492","935","938",TRUE,"246516257",1626.431,motorway,"2","30","3600",121.2742854
"LINESTRING (-122.2207243 37.8541345,-122.2208719 37.8540619,-122.2210068 37.8539884,-122.2211488 37.8539037,-122.2212701 37.8538256,-122.2213753 37.8537522,-122.2213912 37.8537413,-122.2215118 37.8536507,-122.2216262 37.8535567,-122.2217412 37.8534562,-122.2218415 37.8533579,-122.2219423 37.8532523,-122.2220364 37.8531455,-122.2221255 37.8530333,-122.2222084 37.8529215,-122.2222861 37.852803,-122.2223578 37.8526865,-122.2224246 37.8525647,-122.2224842 37.8524419,-122.2225358 37.8523194,-122.2225849 37.8521947,-122.2230917 37.8508731,-122.2231461 37.8507452)","2496","938","1120",TRUE,"692907989",445.756,motorway,"4","30","7200",33.23764755
"LINESTRING (-122.2296417 37.8490297,-122.229817 37.8490499,-122.2299794 37.8490684,-122.2301477 37.8490859,-122.2303103 37.8491004,-122.2304753 37.8491113,-122.2306442 37.8491193,-122.230808 37.8491236,-122.2309772 37.8491255,-122.2311462 37.8491237,-122.2313141 37.8491192,-122.2314737 37.8491116,-122.2316445 37.8491003,-122.2318094 37.8490867,-122.231969 37.8490704,-122.2337889 37.8488684,-122.2339536 37.8488527,-122.234118 37.8488403,-122.2342801 37.8488355,-122.234446 37.848836,-122.2346101 37.8488413,-122.234774 37.8488523,-122.2349389 37.84887,-122.235103 37.8488937,-122.2352585 37.8489209,-122.2354225 37.8489557,-122.2355831 37.8489958,-122.235736 37.8490406,-122.2358921 37.8490923)","2583","982","476",TRUE,"929632113",555.476,motorway,"4","55","7200",22.59211788
"LINESTRING (-122.2231461 37.8507452,-122.2232041 37.8506255,-122.2232714 37.850505,-122.2233456 37.8503836,-122.2234245 37.8502692,-122.2235129 37.850155,-122.2236011 37.8500489,-122.2236983 37.849941,-122.223801 37.8498378,-122.2239122 37.8497363,-122.2240205 37.8496447,-122.2241449 37.8495488,-122.2242718 37.84946,-122.2243961 37.8493789)","2844","1120","477",TRUE,"928170260",189.85,motorway,"5","55","9000",7.721510164
"LINESTRING (-122.2097397 37.8627647,-122.2098043 37.8626394,-122.2098683 37.8625225,-122.2099392 37.8624018,-122.2100083 37.8622881,-122.2100865 37.8621649,-122.2101666 37.8620471,-122.210258 37.8619174,-122.2103289 37.8618221,-122.2104128 37.8617128,-122.210465 37.8616491,-122.2107412 37.8613152,-122.2109845 37.8610283,-122.2112935 37.860688,-122.2115901 37.8603782,-122.2119198 37.8600539,-122.2153098 37.8569031,-122.2156719 37.8565975,-122.2160549 37.8563052,-122.2164455 37.8560581,-122.2169293 37.8558023,-122.217417 37.8555733,-122.2179456 37.8553336,-122.2186685 37.8550144,-122.2189394 37.8548966,-122.219158 37.8548058,-122.2194654 37.8546813,-122.219624 37.8546181,-122.2197741 37.8545584,-122.2200212 37.8544597)","3927","1635","1685",TRUE,"49120137",1316.315,motorway,"2","50","3600",58.89035352
