Run #, C1, C2, C3, C4, C5, C6, C7, C8, D, tt_1, tt_2, tt_3
1, 1444.78, 465.938, 1593.42, 296.662, 283.722, 351.335, 440.699, 1977.7, 3917.4, 1729.2, 1729.19, 1729.19
2, 1986.88, 359.944, 1815.32, 256.863, 313.39, 381.768, 472.864, 2003.54, 3448.3, 909.21, 909.208, 909.209
3, 1738.28, 510.168, 2034.66, 241.006, 331.336, 383.756, 428.911, 1840.19, 4169.58, 1307.73, 1307.72, 1307.73
4, 1642.33, 423.571, 1541.87, 277.706, 352.188, 311.196, 451.95, 1804.69, 3685.73, 1365.79, 1365.78, 1365.78
5, 1850.84, 420.413, 1714.91, 283.84, 256.746, 441.837, 399.958, 1794.42, 3871.54, 1261.75, 1261.75, 1261.75
6, 1586.93, 428.482, 1812.54, 287.708, 325.597, 435.308, 500.551, 1703.96, 3447.27, 1057.92, 1057.92, 1057.92
7, 1931.44, 520.063, 2105.11, 277.841, 320.466, 411.478, 497.763, 1764.94, 3819.4, 980.825, 980.825, 980.825
8, 1810.99, 342.346, 1842.53, 305.04, 327.357, 484.008, 480.982, 1899.8, 3724.05, 1097.35, 1097.35, 1097.35
9, 1910.72, 408.955, 1690.1, 302.983, 261.037, 461.32, 466.008, 1592.05, 3575.11, 1084.95, 1084.95, 1084.95
10, 1978.62, 374.904, 2254.77, 328.629, 290.778, 413.047, 465.424, 1939.05, 3407.91, 759.246, 847.125, 759.246
11, 1558.03, 393.356, 1826.95, 323.416, 297.487, 423.962, 470.859, 1753.99, 3765.12, 1290.33, 1290.32, 1290.33
12, 1890.62, 329.568, 2058.93, 285.357, 281.231, 500.774, 548.966, 1847.83, 4177.31, 1247.06, 1247.06, 1247.06
13, 1887.5, 445.002, 1792.79, 303.784, 389.374, 479.261, 436.908, 1931.59, 4397.41, 1537.67, 1537.66, 1537.66
14, 2088.39, 478.729, 1638.85, 326.26, 339.315, 403.095, 574.729, 1844.68, 3781.38, 1119.98, 1119.97, 1119.97
15, 1731.54, 479.849, 1528.95, 287.438, 281.098, 533.577, 435.301, 1696.71, 3366.82, 1076.43, 1076.43, 1076.43
16, 1608.14, 476.431, 1769.74, 333.817, 295.497, 427.368, 449.539, 1635.68, 3622.01, 1163.81, 1163.81, 1163.81
17, 1551.32, 424.588, 1749.49, 242.728, 292.187, 420.301, 407.069, 1649.06, 3279.78, 1023.97, 1023.97, 1023.97
18, 2054.27, 456.406, 1704.53, 309.916, 295.036, 387.869, 530.256, 1768.06, 3937.39, 1217.6, 1217.59, 1217.59
19, 1907.5, 471.463, 1914.07, 262.411, 277.431, 470.862, 450.937, 1944.14, 4023.53, 1161.52, 1161.52, 1161.52
20, 1861, 500.941, 1684.51, 256.403, 290.96, 440.784, 522.51, 1809.85, 3868.86, 1252.38, 1252.37, 1252.37
21, 1716.65, 489.715, 1759.79, 275.144, 320.04, 422.646, 503.122, 1797.47, 3332.33, 939.451, 939.45, 939.451
22, 1725.58, 497.046, 2025.91, 307.041, 316.841, 434.894, 464.42, 1725.53, 3981.55, 1194.73, 1194.73, 1194.73
23, 2036.97, 416.451, 1811.11, 279.684, 310.964, 457.209, 393.211, 1761.82, 4437.24, 1565.96, 1565.95, 1565.96
